spatial_range,spatial_extent,temporal_range,temporal_extent,process_graph_path,process_graph_id,status,id,start_time,running_time,cpu,memory,duration,backend_name,input_pixel,max_executor_memory,network_received,job_cost
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724992f474121a174aaf95e0c4834,2024-07-24T13:28:46.181935Z,,122.386714356 cpu-seconds,613472.76953125 mb-seconds,86 seconds,cdse,12 mega-pixel,1.8399314880371094 gb,3137071963 b,2.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724b37d53479c8d6b4cf37dbb855c,2024-07-24T13:29:26.717449Z,,207.460113653 cpu-seconds,1314824.21875 mb-seconds,140 seconds,cdse,27 mega-pixel,1.9945869445800781 gb,3231573058 b,2.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-2407240b3fdb4c0abe3056b1a408a995,2024-07-24T13:29:47.063121Z,,318.77321605599997 cpu-seconds,2131285.529296875 mb-seconds,147 seconds,cdse,50 mega-pixel,1.7822074890136719 gb,6864566145 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724d5be4641e6824d175a969ad954,2024-07-24T13:30:10.168847Z,,294.947716626 cpu-seconds,3996010.4957217257 mb-seconds,370 seconds,cdse,48 mega-pixel,1.8148574829101562 gb,6216810327 b,3.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724848f0542669be60a4854cfb108,2024-07-24T13:30:41.334449Z,,427.03501955799993 cpu-seconds,2571100.91796875 mb-seconds,170 seconds,cdse,108 mega-pixel,1.8231887817382812 gb,13648775858 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724d330a944da81b8f2426ddcbc7c,2024-07-24T13:31:10.915987Z,,555.19434651 cpu-seconds,4088699.51953125 mb-seconds,169 seconds,cdse,200 mega-pixel,2.0688323974609375 gb,26253401709 b,3.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-2407248d024949d8a0a1fb78ad843da4,2024-07-24T13:31:44.036575Z,,325.97925599 cpu-seconds,2272514.63671875 mb-seconds,134 seconds,cdse,192 mega-pixel,1.8191986083984375 gb,7912921141 b,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-2407245edc184bcaa198c6143409e0a6,2024-07-24T13:32:07.071303Z,2024-07-24T13:38:07.448024Z,542.320959366 cpu-seconds,3593505.3515625 mb-seconds,165 seconds,cdse,432 mega-pixel,2.1749839782714844 gb,23514861542 b,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,error,j-2407248fc7bf4756b807f1ad636e1799,2024-07-24T13:34:58.097148Z,,17.17321305 cpu-seconds,17335.375 mb-seconds,32 seconds,cdse,,,1774 b,2.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-2407246c2ab040c481f8cd763a56eb74,2024-07-24T13:35:44.633978Z,,102.012287939 cpu-seconds,530660.0625 mb-seconds,96 seconds,cdse,12 mega-pixel,1.3199653625488281 gb,46782553 b,2.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-24072400522143a79f99a00ebef8074d,2024-07-24T13:38:19.870828Z,,239.04000198499998 cpu-seconds,1185469.5963541665 mb-seconds,140 seconds,cdse,27 mega-pixel,1.63336181640625 gb,2883418160 b,2.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724f153d04daaac68b1c20b20cebc,2024-07-24T13:38:48.702704Z,,316.760785242 cpu-seconds,2147771.466796875 mb-seconds,153 seconds,cdse,50 mega-pixel,2.0458831787109375 gb,9578318436 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,error,j-24072466f0804d3b801536ba15a6ca65,2024-07-24T13:39:13.493366Z,,14.777049789 cpu-seconds,15156.4609375 mb-seconds,23 seconds,cdse,,,11283 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724382ea44d879b6b9bcaf51a22ae,2024-07-24T13:39:34.064277Z,,311.350572111 cpu-seconds,2108700.85546875 mb-seconds,159 seconds,cdse,108 mega-pixel,1.9524078369140625 gb,12319586633 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-2407243d5abc4bdd90ce3c01f7a6a270,2024-07-24T13:40:01.485864Z,,580.841782647 cpu-seconds,3523020.328125 mb-seconds,162 seconds,cdse,200 mega-pixel,1.9632644653320312 gb,23946040246 b,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,error,j-24072460023d48dab77a2d61bf92a16a,2024-07-24T13:40:24.266633Z,,5400 cpu-seconds,11059200 mb-seconds,35 seconds,cdse,,,90 b,6.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724271c1f46a29be8f4e4304ff01b,2024-07-24T13:40:43.108552Z,,658.3177736819999 cpu-seconds,4266339.33984375 mb-seconds,171 seconds,cdse,432 mega-pixel,2.243152618408203 gb,24220435993 b,3.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,error,j-2407247863b24b0180c8708a014523ba,2024-07-24T13:41:04.588580Z,,5400 cpu-seconds,11059200 mb-seconds,28 seconds,cdse,,,,6.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724e52d0b4c238866ef83ad4a5c3d,2024-07-24T13:41:45.195954Z,,90.415668875 cpu-seconds,358386.3828125 mb-seconds,98 seconds,cdse,12 mega-pixel,1.6123771667480469 gb,416320861 b,2.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-24072400f3d044b4b6b8e48a7ea86d35,2024-07-24T13:44:45.730907Z,,250.74271163699999 cpu-seconds,1709035.927734375 mb-seconds,135 seconds,cdse,27 mega-pixel,1.8862075805664062 gb,5999403877 b,2.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-24072430b33e4942aa5c9ac6cf73927b,2024-07-24T13:45:22.153305Z,,388.191514465 cpu-seconds,2954681.015625 mb-seconds,164 seconds,cdse,50 mega-pixel,2.0252647399902344 gb,11538678945 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724821ff0465e89bcaca57e3d1310,2024-07-24T13:46:01.510108Z,,179.53408751 cpu-seconds,752690.189453125 mb-seconds,121 seconds,cdse,48 mega-pixel,2.035797119140625 gb,1170181153 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724adc7e3410ea291601be4040a17,2024-07-24T13:46:33.240152Z,,408.79266745999996 cpu-seconds,2190180.921875 mb-seconds,164 seconds,cdse,108 mega-pixel,1.9636421203613281 gb,12653328286 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-24072434ac8744b3b2d6bd9e35b163c3,2024-07-24T13:47:13.409454Z,,596.251603192 cpu-seconds,3483192.6796875 mb-seconds,177 seconds,cdse,200 mega-pixel,1.9149818420410156 gb,24611380898 b,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-2407245d0dd9440fad31ebc6cbb50426,2024-07-24T13:49:40.688688Z,2024-07-24T13:54:52.989953Z,320.453774443 cpu-seconds,2175788.21484375 mb-seconds,149 seconds,cdse,192 mega-pixel,2.02532958984375 gb,9620065925 b,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724bf4b184840bb05470e95fc8ab7,2024-07-24T13:52:19.004168Z,2024-07-24T13:54:57.049655Z,591.920335175 cpu-seconds,4212647.425130208 mb-seconds,173 seconds,cdse,432 mega-pixel,2.2316932678222656 gb,26551988273 b,3.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724ab66b84eb9ab1df18446203793,2024-07-24T13:52:59.486623Z,2024-07-24T13:54:57.269421Z,1172.263832095 cpu-seconds,6679237.16796875 mb-seconds,210 seconds,cdse,800 mega-pixel,2.159820556640625 gb,46975285560 b,3.0
